Symbol,Company Name,Industry,Market Cap
CLOV,Clover Health Investments,Healthcare Plans,492307081
CLPR,Clipper Realty,REIT - Residential,212750612
CLPS,CLPS Incorporation,Information Technology Services,28351320
CLPT,ClearPoint Neuro,Medical Devices,206245497
CLRB,Cellectar Biosciences,Biotechnology,15584816
CLRC,ClimateRock,Shell Companies,49018745
CLRO,ClearOne,Communication Equipment,61079130
CLS,Celestica,Electronic Components,1361263931
CLSD,Clearside Biomedical,Biotechnology,62899422
CLSK,CleanSpark,Software - Application,475539157
CLST,Catalyst Bancorp,Banks - Regional,52306027
CLVR,Clever Leaves Holdings,Drug Manufacturers - Specialty & Generic,11407112
CLVT,Clarivate,Information Technology Services,4939834606
CLW,Clearwater Paper,Paper & Paper Products,551640543
CLWT,Euro Tech Holdings Company,Pollution & Treatment Controls,11907480
CLX,The Clorox Company,Household & Personal Products,20549619000
CLXT,Calyxt,Packaged Foods,20093708
CM,Canadian Imperial Bank of Commerce,Banks - Diversified,37897082317
CMA,Comerica,Banks - Regional,5048227800
CMAX,CareMax,Health Information Services,318532500
CMBM,Cambium Networks,Communication Equipment,422860693
CMC,Commercial Metals Company,Steel,5277292020
CMCA,Capitalworks Emerging Markets Acquisition,Shell Companies,301012479
CMCL,Caledonia Mining Corporation,Gold,244264513
CMCM,Cheetah Mobile,Internet Content & Information,64117404
CMCO,Columbus McKinnon,Farm & Heavy Construction Machinery,1040215968
CMCSA,Comcast,Telecom Services,171283267082
CMCT,Creative Media & Community Trust,REIT - Office,114485327
CME,CME Group,Financial Data & Stock Exchanges,65403382755
CMG,Chipotle Mexican Grill,Restaurants,58110188556
CMI,Cummins,Specialty Industrial Machinery,30668887200
CMLS,Cumulus Media,Broadcasting,57846960
CMMB,Chemomab Therapeutics,Biotechnology,19834391
CMND,Clearmind Medicine,Biotechnology,3447740
CMP,Compass Minerals International,Other Industrial Metals & Mining,1400229302
CMPO,CompoSecure,Metal Fabrication,555836335
CMPR,Cimpress,Advertising Agencies,1348511921
CMPS,COMPASS Pathways,Medical Care Facilities,367710902
CMPX,Compass Therapeutics,Biotechnology,401027190
CMRA,Comera Life Sciences Holdings,Biotechnology,14050701
CMRE,Costamare,Marine Shipping,1044057860
CMRX,Chimerix,Biotechnology,107186156
CMS,CMS Energy,Utilities - Regulated Electric,17099791280
CMT,Core Molding Technologies,Specialty Chemicals,161401618
CMTG,Claros Mortgage Trust,REIT - Mortgage,1494460800
CMTL,Comtech Telecommunications,Communication Equipment,339939580
CNA,CNA Financial,Insurance - Property & Casualty,10636437208
CNC,Centene,Healthcare Plans,35889494170
CNDA,Concord Acquisition Corp II,Shell Companies,356774308
CNDB,Concord Acquisition Corp III,Shell Companies,358110000
CNDT,Conduent,Information Technology Services,773288248
CNET,ZW Data Action Technologies,Advertising Agencies,10259549
CNEY,CN Energy Group.,Specialty Chemicals,12569756
CNF,CNFinance Holdings,Mortgage Finance,205060778
CNFR,Conifer Holdings,Insurance - Property & Casualty,19667438
CNGL,Canna-Global Acquisition,Shell Companies,95017905
CNHI,CNH Industrial,Farm & Heavy Construction Machinery,18728500224
CNI,Canadian National Railway Company,Railroads,79156800000
CNK,Cinemark Holdings,Entertainment,2048606150
CNM,Core & Main,Industrial Distribution,6754951878
CNMD,CONMED,Medical Devices,3637237688
CNNE,Cannae Holdings,Restaurants,1495375590
CNO,CNO Financial Group,Insurance - Life,2525915700
CNOB,ConnectOne Bancorp,Banks - Regional,545764863
CNP,CenterPoint Energy,Utilities - Regulated Electric,18041118881
CNQ,Canadian Natural Resources,Oil & Gas E&P,62261439775
CNS,Cohen & Steers,Asset Management,2765795163
CNSL,Consolidated Communications Holdings,Telecom Services,435100770
CNSP,CNS Pharmaceuticals,Biotechnology,6587909
CNTA,Centessa Pharmaceuticals,Biotechnology,436827546
CNTB,Connect Biopharma Holdings,Biotechnology,60545320
CNTG,Centogene,Diagnostics & Research,23560992
CNTX,Context Therapeutics,Biotechnology,10361999
CNTY,Century Casinos,Resorts & Casinos,212647649
CNX,CNX Resources,Oil & Gas E&P,2635969920
CNXA,Connexa Sports Technologies,Leisure,2573663
CNXC,Concentrix,Information Technology Services,4716260344
CNXN,PC Connection,Electronics & Computer Distribution,1158842160
CO,Global Cord Blood,Diagnostics & Research,400084454
COCO,The Vita Coco Company,Beverages - Non-Alcoholic,1373544414
COCP,Cocrystal Pharma,Biotechnology,23399740
CODA,Coda Octopus Group,Aerospace & Defense,99181800
CODI,Compass Diversified,Conglomerates,1438953920
CODX,Co-Diagnostics,Medical Devices,42673188
COE,China Online Education Group,Education & Training Services,34481093
COEP,Coeptis Therapeutics,Biotechnology,27301962
COF,Capital One Financial,Credit Services,37390263147
COFS,ChoiceOne Financial Services,Banks - Regional,157355010
COGT,Cogent Biosciences,Biotechnology,795313628
COHN,Cohen & Company,Capital Markets,10318663
COHR,Coherent,Scientific & Technical Instruments,6605557248
COHU,"Cohu, Inc.",Semiconductor Equipment & Materials,1760626024
COIN,Coinbase Global,Software - Application,13318430360
COKE,Coca-Cola Consolidated,Beverages - Non-Alcoholic,6226942267
COLB,Columbia Banking System,Banks - Regional,4267103806
COLD,Americold Realty Trust,REIT - Industrial,8015765880
COLL,Collegium Pharmaceutical,Drug Manufacturers - Specialty & Generic,805020996
COLM,Columbia Sportswear Company,Apparel Manufacturing,4699545150
COMM,CommScope Holding Company,Communication Equipment,904194900
COMP,Compass,Software - Application,1868231730
COMS,COMSovereign Holding,Telecom Services,4776755
CONN,Conn's,Specialty Retail,103557597
CONX,CONX Corp.,Shell Companies,277930458
COO,The Cooper Companies,Medical Instruments & Supplies,19094845770
COOK,Traeger,"Furnishings, Fixtures & Appliances",422536510
COOL,Corner Growth Acquisition,Shell Companies,114152270
COOP,Mr. Cooper Group,Mortgage Finance,3099832370
COP,ConocoPhillips,Oil & Gas E&P,124152159283
CORR,CorEnergy Infrastructure Trust,REIT - Diversified,16034599
CORS,Corsair Partnering,Shell Companies,306073879
CORT,Corcept Therapeutics,Biotechnology,2448029800
COSM,Cosmos Health,Drug Manufacturers - Specialty & Generic,36641415
COST,Costco Wholesale,Discount Stores,220198183132
COTY,Coty Inc.,Household & Personal Products,9585438190
COUR,Coursera,Education & Training Services,1808628096
COYA,Coya Therapeutics,Biotechnology,49739600
CP,Canadian Pacific Railway,Railroads,76905474061
CPA,Copa Holdings,Airlines,4143822452
CPAA,Conyers Park III Acquisition,Shell Companies,452943730
CPAC,Cementos Pacasmayo,Building Materials,466636630
CPB,Campbell Soup Company,Packaged Foods,15776395680
CPE,Callon Petroleum Company,Oil & Gas E&P,1990351466
CPF,Central Pacific Financial,Banks - Regional,398061070
CPG,Crescent Point Energy,Oil & Gas E&P,3684379392
CPHC,Canterbury Park Holding,Gambling,111220787
CPHI,China Pharma Holdings,Drug Manufacturers - Specialty & Generic,3086841
CPIX,Cumberland Pharmaceuticals,Drug Manufacturers - Specialty & Generic,25285925
CPK,Chesapeake Utilities,Utilities - Regulated Gas,2236724127
CPLP,Capital Product Partners L.P.,Marine Shipping,273508050
CPNG,Coupang,Internet Retail,28977792316
CPOP,Pop Culture Group,Entertainment,15389595
CPRI,Capri Holdings,Luxury Goods,4970573400
CPRT,Copart,Auto & Truck Dealerships,42054565614
CPRX,Catalyst Pharmaceuticals,Biotechnology,1290957090
CPS,Cooper-Standard Holdings,Auto Parts,194007820
CPSH,CPS Technologies,Electronic Components,47026525
CPSI,Computer Programs and Systems,Health Information Services,355216935
CPSS,Consumer Portfolio Services,Credit Services,222946867
CPT,Camden Property Trust,REIT - Residential,11571438000
CPTK,Crown Proptech Acquisitions,Shell Companies,112296570
CPTN,Cepton,Software - Application,61083228
CPUH,Compute Health Acquisition,Shell Companies,322012158
CQP,"Cheniere Energy Partners,",Oil & Gas Midstream,22386525880
CR,Crane Company,Specialty Industrial Machinery,4223563390
CRAI,CRA International,Consulting Services,685122812
CRBG,Corebridge Financial,Asset Management,11011949162
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,45734161
CRBU,Caribou Biosciences,Biotechnology,266318458
CRC,California Resources,Oil & Gas E&P,2789693401
CRCT,Cricut,Computer Hardware,1576220560
CRD.A,Crawford & Company,Insurance Brokers,454663074
CRD.B,Crawford & Company,Insurance Brokers,441158433
CRDF,Cardiff Oncology,Biotechnology,75951240
CRDL,Cardiol Therapeutics,Drug Manufacturers - Specialty & Generic,37591140
CRDO,Credo Technology Group Holding,Communication Equipment,1515383482
CREC,Crescera Capital Acquisition,Shell Companies,298252107
CREG,Smart Powerr,Utilities - Renewable,12977001
CRESY,Cresud S.A.C.I.F. y A.,Conglomerates,774274341
CREX,Creative Realities,Software - Application,17929853
CRGE,Charge Enterprises,Information Technology Services,249033321
CRGO,Freightos Limited Ordinary shares,Integrated Freight & Logistics,19827320
CRGY,Crescent Energy Company,Oil & Gas E&P,1705141490
CRH,CRH plc,Building Materials,36958128136
CRI,Carter's,Apparel Retail,2375499852
CRIS,Curis,Biotechnology,85023756
CRK,Comstock Resources,Oil & Gas E&P,3000137530
CRKN,Crown ElectroKinetics,Specialty Chemicals,8809808
CRL,Charles River Laboratories International,Diagnostics & Research,10151104557
CRM,Salesforce,Software - Application,205947273231
CRMD,CorMedix,Biotechnology,231426785
CRMT,America's Car-Mart,Auto & Truck Dealerships,550561693
CRNC,Cerence,Software - Application,981929676
CRNT,Ceragon Networks,Communication Equipment,150154221
CRNX,Crinetics Pharmaceuticals,Biotechnology,1204084040
CRON,Cronos Group,Drug Manufacturers - Specialty & Generic,727358560
CROX,Crocs,Footwear & Accessories,6760779500
CRS,Carpenter Technology,Metal Fabrication,2319728556
CRSP,CRISPR Therapeutics AG,Biotechnology,5242051372
CRSR,Corsair Gaming,Computer Hardware,1998334800
CRT,Cross Timbers Royalty Trust,Oil & Gas E&P,127080000
CRTO,Criteo,Advertising Agencies,1793561175
CRUS,Cirrus Logic,Semiconductors,4455261925
CRVL,CorVel,Insurance Brokers,3523943830
CRVS,Corvus Pharmaceuticals,Biotechnology,148553515
CRWD,CrowdStrike Holdings,Software - Infrastructure,34312969740
CRWS,Crown Crafts,"Furnishings, Fixtures & Appliances",51296232
CS,Credit Suisse Group AG,Banks - Diversified,3497742752
CSAN,Cosan,Oil & Gas Refining & Marketing,5903223498
CSBR,Champions Oncology,Biotechnology,65894796
CSCO,Cisco Systems,Communication Equipment,201227638172
CSGP,CoStar Group,Real Estate Services,32070312128
CSGS,CSG Systems International,Software - Infrastructure,1564169962
CSIQ,Canadian Solar,Solar,2599001497
CSL,Carlisle Companies,Building Products & Equipment,10820931156
CSLM,Consilium Acquisition Corp I,Shell Companies,246912698
CSPI,CSP Inc.,Information Technology Services,54407084
CSR,Centerspace,REIT - Residential,945795039
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,40687580
CSTA,Constellation Acquisition Corp I,Shell Companies,127825262
CSTE,Caesarstone,Building Products & Equipment,165654720
CSTL,Castle Biosciences,Diagnostics & Research,656872893
CSTM,Constellium SE,Aluminum,2275642540
CSTR,CapStar Financial Holdings,Banks - Regional,274812438
CSV,Carriage Services,Personal Services,407703660
CSWC,Capital Southwest,Asset Management,627245850
CSWI,CSW Industrials,Specialty Industrial Machinery,2146987626
CSX,CSX Corporation,Railroads,65687844983
CTAS,Cintas,Specialty Business Services,47848756960
CTBI,Community Trust Bancorp,Banks - Regional,629249663
CTG,"Computer Task Group,",Information Technology Services,102057456
CTGO,Contango Ore,Gold,213847414
CTHR,Charles & Colvard,Luxury Goods,29272228
CTIB,Yunhong CTI,Specialty Retail,38342538
CTIC,CTI BioPharma,Biotechnology,1179007200
CTKB,Cytek Biosciences,Medical Devices,953739066
CTLP,Cantaloupe,Information Technology Services,477111168
CTLT,Catalent,Drug Manufacturers - Specialty & Generic,6693945300
CTM,Castellum,Information Technology Services,36222835
CTMX,CytomX Therapeutics,Biotechnology,124717132
CTO,CTO Realty Growth,REIT - Diversified,368216708
CTOS,Custom Truck One Source,Rental & Leasing Services,1673384800
CTRA,Coterra Energy,Oil & Gas E&P,19413520185
CTRE,CareTrust REIT,REIT - Healthcare Facilities,1921857000
CTRM,Castor Maritime,Marine Shipping,63842893
CTRN,Citi Trends,Apparel Retail,144901691
CTS,CTS Corporation,Electronic Components,1395960400
CTSH,Cognizant Technology Solutions,Information Technology Services,31976125266
CTSO,Cytosorbents,Medical Devices,146367486
CTV,Innovid,Advertising Agencies,131707208
CTVA,Corteva,Agricultural Inputs,40498436177
CTXR,Citius Pharmaceuticals,Biotechnology,187452440
CUBE,CubeSmart,REIT - Industrial,10090243711
CUBI,Customers Bancorp,Banks - Regional,685937500
CUE,Cue Biopharma,Biotechnology,181348440
CUEN,Cuentas,Software - Application,10517950
CUK,Carnival Corporation &,Leisure,12702397344
CULL,Cullman Bancorp,Banks - Regional,78192112
CULP,"Culp, Inc.",Textile Manufacturing,60080608
CURI,CuriosityStream,Broadcasting,47785294
CURO,CURO Group Holdings,Credit Services,45056000
CURV,Torrid Holdings,Apparel Retail,283450440
CUTR,Cutera,Medical Devices,334029820
CUZ,Cousins Properties,REIT - Office,3030846120
CVAC,CureVac,Biotechnology,2028008520
CVBF,CVB Financial,Banks - Regional,1603227900
CVCO,Cavco Industries,Residential Construction,2395288224
CVCY,Central Valley Community Bancorp,Banks - Regional,168800364
CVE,Cenovus Energy,Oil & Gas Integrated,31482094292
CVEO,Civeo,Specialty Business Services,320853208
CVGI,Commercial Vehicle Group,Auto Parts,338080330
CVGW,Calavo Growers,Food Distribution,567588973
CVI,CVR Energy,Oil & Gas Refining & Marketing,2505232520
CVII,Churchill Capital Corp VII,Shell Companies,1762087439
CVKD,Cadrenal Therapeutics,Biotechnology,16880832
CVLG,Covenant Logistics Group,Trucking,509336986
CVLT,Commvault Systems,Software - Application,2886000494
CVLY,Codorus Valley Bancorp,Banks - Regional,162909856
CVM,CEL-SCI,Biotechnology,114134272
CVNA,Carvana Co.,Internet Retail,1907423936
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,24008380
CVRX,"CVRx, Inc.",Medical Devices,277292171
CVS,CVS Health,Healthcare Plans,88947238070
CVT,Cvent Holding,Software - Application,4164029802
CVU,CPI Aerostructures,Aerospace & Defense,43858132
CVV,CVD Equipment,Specialty Industrial Machinery,44195429
CVX,Chevron,Oil & Gas Integrated,294104967200
CW,Curtiss-Wright,Aerospace & Defense,6269447579
CWAN,Clearwater Analytics Holdings,Software - Application,4718668046
CWBC,Community West Bancshares,Banks - Regional,92415564
CWBR,CohBar,Biotechnology,4786260
CWCO,Consolidated Water,Utilities - Regulated Water,302809572
CWD,CaliberCos,Capital Markets,110338662
CWEN,Clearway Energy,Utilities - Renewable,5963464510
CWEN.A,Clearway Energy,Utilities - Renewable,5946188915
CWH,Camping World Holdings,Auto & Truck Dealerships,1176586236
CWK,Cushman & Wakefield,Real Estate Services,1784707320
CWST,Casella Waste Systems,Waste Management,4793055243
CWT,California Water Service Group,Utilities - Regulated Water,3058233882
CX,CEMEX,Building Materials,9430394688
CXAC,C5 Acquisition,Shell Companies,379859354
CXAI,CXApp,Software - Application,85384800
CXDO,Crexendo,Telecom Services,50623287
CXM,Sprinklr,Software - Application,3321846912
CXT,"Crane NXT, Co.",Specialty Industrial Machinery,3044650797
CXW,CoreCivic,REIT - Specialty,1007001020
CYAD,Celyad Oncology,Biotechnology,11349701
CYAN,Cyanotech,Packaged Foods,6397409
CYBN,Cybin,Biotechnology,55800978
CYBR,CyberArk Software,Software - Infrastructure,6282189568
CYCC,Cyclacel Pharmaceuticals,Biotechnology,8090292
CYCN,Cyclerion Therapeutics,Biotechnology,228940974
CYD,China Yuchai International,Specialty Industrial Machinery,330952230
CYH,Community Health Systems,Medical Care Facilities,474532882
CYN,Cyngn,Software - Application,33702740
CYRX,Cryoport,Integrated Freight & Logistics,917737795
CYT,Cyteir Therapeutics,Biotechnology,79903800
CYTH,Cyclo Therapeutics,Drug Manufacturers - Specialty & Generic,17595344
CYTK,"Cytokinetics,",Biotechnology,3728070588
CYTO,Altamira Therapeutics,Biotechnology,6185265
CYXT,Cyxtera Technologies,Information Technology Services,27065580
CZFS,Citizens Financial Services,Banks - Regional,317644290
CZNC,Citizens & Northern,Banks - Regional,300770338
CZOO,Cazoo Group,Auto & Truck Dealerships,46193040
CZR,Caesars Entertainment,Resorts & Casinos,9423783160
CZWI,Citizens Community Bancorp,Banks - Regional,85650440
D,Dominion Energy,Utilities - Regulated Electric,43569244503
DAC,Danaos,Marine Shipping,1254965999
DADA,Dada Nexus,Internet Retail,1440035080
DAIO,Data I/O,Electronic Components,39820686
DAKT,Daktronics,Electronic Components,268366659
DAL,Delta Air Lines,Airlines,22874297745
DALN,DallasNews,Publishing,21094163
DALS,DA32 Life Science Tech Acquisition,Shell Companies,261630000
DAN,Dana Incorporated,Auto Parts,1947011700
DAO,Youdao,Education & Training Services,632249260
DAR,Darling Ingredients,Packaged Foods,10342938480
DARE,Daré Bioscience,Biotechnology,88873344
DASH,DoorDash,Internet Content & Information,26026017323
DATS,DatChat,Software - Application,7264042
DAVA,Endava,Software - Infrastructure,3007150820
DAVE,Dave Inc.,Software - Application,54803156
DAWN,Day One Biopharmaceuticals,Biotechnology,982929936
DB,Deutsche Bank Aktiengesellschaft,Banks - Regional,22033159322
DBD,"Diebold Nixdorf,",Software - Application,28046778
DBGI,Digital Brands Group,Apparel Retail,5451881
DBI,Designer Brands,Apparel Retail,498033824
DBRG,DigitalBridge Group,REIT - Diversified,1785591462
DBTX,Decibel Therapeutics,Biotechnology,110816450
DBVT,DBV Technologies,Biotechnology,359039905
DBX,Dropbox,Software - Infrastructure,7933944593
DC,Dakota Gold,Gold,244701912
DCBO,Docebo,Software - Application,1103379450
DCFC,Tritium DCFC,Electrical Equipment & Parts,160960800
DCGO,DocGo,Medical Care Facilities,957134500
DCI,Donaldson Company,Specialty Industrial Machinery,7748323640
DCO,Ducommun,Aerospace & Defense,511207875
DCOM,Dime Community Bancshares,Banks - Regional,658985310
DCP,"DCP Midstream, LP",Oil & Gas Midstream,8655133840
DCPH,Deciphera Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1160593588
DCTH,Delcath Systems,Medical Devices,75193140
DD,DuPont de Nemours,Specialty Chemicals,30639384216
DDD,3D Systems,Computer Hardware,1093832700
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,440529726
DDL,Dingdong (Cayman) Limited,Grocery Stores,657624960
DDOG,Datadog,Software - Application,29641468750
DDS,Dillard's,Department Stores,4481999400
DE,Deere & Company,Farm & Heavy Construction Machinery,107727857283
DEA,Easterly Government Properties,REIT - Office,2441580650
DECA,Denali Capital Acquisition,Shell Companies,114826725
DECK,Deckers Outdoor,Footwear & Accessories,11987946047
DEI,Douglas Emmett,REIT - Office,2267894909
DELL,Dell Technologies,Computer Hardware,34851241837
DEN,Denbury,Oil & Gas E&P,4578744604
DENN,Denny's,Restaurants,649822450
DEO,Diageo,Beverages - Wineries & Distilleries,100672353100
DERM,Journey Medical,Drug Manufacturers - Specialty & Generic,24676469
DESP,Despegar.com,Travel Services,404265168
DFFN,Diffusion Pharmaceuticals,Biotechnology,8139121
DFH,Dream Finders Homes,Residential Construction,1605587181
DFIN,Donnelley Financial Solutions,Capital Markets,1338697916
DFLI,Dragonfly Energy Holdings,Electrical Equipment & Parts,130131072
DFS,Discover Financial Services,Credit Services,25582520040
DG,Dollar General,Discount Stores,47125748640
DGHI,Digihost Technology,Software - Application,45763391
DGICA,Donegal Group,Insurance - Property & Casualty,470375110
DGICB,Donegal Group,Insurance - Property & Casualty,482557359
DGII,Digi International,Communication Equipment,1214933835
DGLY,Digital Ally,Security & Protection Services,9698374
DGX,Quest Diagnostics,Diagnostics & Research,14728063410
DH,Definitive Healthcare,Health Information Services,1021693050
DHAC,Digital Health Acquisition,Shell Companies,48025380
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,239682000
DHCA,DHC Acquisition,Shell Companies,125313936
DHI,D.R. Horton,Residential Construction,37582614372
DHIL,Diamond Hill Investment Group,Asset Management,474118313
DHR,Danaher,Diagnostics & Research,168484480497
DHT,DHT Holdings,Oil & Gas Midstream,1328344115
DHX,DHI Group,Staffing & Employment Services,161263700
DIBS,1stdibs.Com,Internet Retail,149740247
DICE,DICE Therapeutics,Biotechnology,1558881396
DIN,Dine Brands Global,Restaurants,1062938682
DINO,HF Sinclair,Oil & Gas Refining & Marketing,7951894781
DIOD,Diodes,Semiconductors,4357592262
DIS,The Walt Disney Company,Entertainment,166923852077
DISA,Disruptive Acquisition Corporation I,Shell Companies,86466781
DISH,DISH Network,Telecom Services,3568473473
DIST,Distoken Acquisition,Shell Companies,56087890
DIT,AMCON Distributing Company,Food Distribution,119760081
DJCO,Daily Journal,Software - Application,380500930
DK,Delek US Holdings,Oil & Gas Refining & Marketing,1469704912
DKDCA,Data Knights Acquisition,Shell Companies,82819520
DKL,"Delek Logistics Partners, LP",Oil & Gas Midstream,2127772133
DKNG,DraftKings,Gambling,11135588874
DKS,DICK'S Sporting Goods,Specialty Retail,10774803793
DLA,Delta Apparel,Apparel Manufacturing,67288536
DLB,Dolby Laboratories,Information Technology Services,7984309375
DLHC,DLH Holdings,Specialty Business Services,130643415
DLNG,Dynagas LNG Partners LP,Oil & Gas Midstream,94581654
DLO,DLocal,Software - Infrastructure,4145461588
DLPN,Dolphin Entertainment,Entertainment,26976772
DLR,Digital Realty Trust,REIT - Office,26439740976
DLTH,Duluth Holdings,Apparel Retail,188942728
DLTR,Dollar Tree,Discount Stores,35414178240
DLX,Deluxe,Advertising Agencies,642782274
DM,Desktop Metal,Computer Hardware,549696600
DMAC,DiaMedica Therapeutics,Biotechnology,59536575
DMAQ,Deep Medicine Acquisition,Shell Companies,49132817
DMLP,"Dorchester Minerals,",Oil & Gas E&P,1120447800
DMRC,Digimarc,Information Technology Services,625842945
DMS,Digital Media Solutions,Advertising Agencies,23297445
DMTK,DermTech,Diagnostics & Research,71195871
DMYY,dMY Squared Technology Group,Shell Companies,64769750
DNA,Ginkgo Bioworks Holdings,Biotechnology,2818931246
DNAB,Social Capital Suvretta Holdings Corp. II,Shell Companies,328148090
DNAD,Social Capital Suvretta Holdings Corp. IV,Shell Companies,328467000
DNB,Dun & Bradstreet Holdings,Financial Data & Stock Exchanges,4397783470
DNLI,Denali Therapeutics,Biotechnology,4322954367
DNMR,Danimer Scientific,Specialty Chemicals,323143460
DNN,Denison Mines,Uranium,893836296
DNOW,NOW Inc.,Oil & Gas Equipment & Services,1010894850
DNUT,Krispy Kreme,Grocery Stores,2523000000
DO,Diamond Offshore Drilling,Oil & Gas Drilling,1171698480
DOC,Physicians Realty Trust,REIT - Healthcare Facilities,3433172809
DOCN,DigitalOcean Holdings,Software - Infrastructure,3023177364
DOCS,Doximity,Health Information Services,6202623984
DOCU,DocuSign,Software - Application,10747078615
DOGZ,Dogness (International),Leisure,33242413
DOLE,Dole plc,Farm Products,1247924480
DOMA,Doma Holdings,Real Estate Services,98120070
DOMH,Dominari Holdings,Biotechnology,10930340
DOMO,"Domo, Inc.",Software - Application,521194417
DOOO,BRP Inc.,Recreational Vehicles,5849770846
DOOR,Masonite International,Building Products & Equipment,2087641125
DORM,Dorman Products,Auto Parts,2715714290
DOUG,Douglas Elliman,Real Estate Services,277728640
DOV,Dover,Specialty Industrial Machinery,19505020086
DOW,Dow Inc.,Chemicals,36745014666
DOX,Amdocs,Software - Infrastructure,11459477640
DOYU,DouYu International Holdings,Internet Content & Information,329370302
DPCS,DP Cap Acquisition Corp I,Shell Companies,300151226
DPRO,Draganfly,Aerospace & Defense,37968651
DPSI,Decisionpoint Systems,Software - Application,44789745
DPZ,Domino's Pizza,Restaurants,11042023940
DQ,Daqo New Energy,Semiconductor Equipment & Materials,2976290018
DRCT,Direct Digital Holdings,Advertising Agencies,56578998
DRD,DRDGOLD,Gold,1073598573
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,1699290835
DRI,Darden Restaurants,Restaurants,19519149890
DRIO,DarioHealth,Diagnostics & Research,98854875
DRMA,Dermata Therapeutics,Biotechnology,5717623
DRQ,Dril-Quip,Oil & Gas Equipment & Services,818440955
DRRX,DURECT,Drug Manufacturers - Specialty & Generic,171428600
DRS,Leonardo DRS,Aerospace & Defense,4053330000
DRTS,Alpha Tau Medical,Biotechnology,275109979
DRTT,DIRTT Environmental Solutions,Engineering & Construction,36034056
DRUG,Bright Minds Biosciences,Biotechnology,9448752
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4420232800
DSAQ,Direct Selling Acquisition,Shell Companies,243800000
DSEY,Diversey Holdings,Personal Services,2694005766
DSGN,Design Therapeutics,Biotechnology,402808320
DSGR,Distribution Solutions Group,Industrial Distribution,963161694
DSGX,The Descartes Systems Group,Software - Application,6641188680
DSKE,Daseke,Trucking,258735540
DSP,Viant Technology,Software - Application,279039114
DSS,"DSS, Inc.",Packaging & Containers,27970219
DSWL,Deswell Industries,Electronic Components,43960436
DSX,Diana Shipping,Marine Shipping,394881270
DT,Dynatrace,Software - Application,14172219560
DTC,Solo Brands,Internet Retail,324176501
DTE,DTE Energy Company,Utilities - Regulated Electric,22375192172
DTIL,Precision BioSciences,Biotechnology,88405782
DTM,DT Midstream,Oil & Gas Midstream,4561590616
DTOC,Digital Transformation Opportunities,Shell Companies,103623400
DTSS,Datasea,Software - Infrastructure,29441380
DTST,Data Storage,Information Technology Services,13198775
DUET,DUET Acquisition,Shell Companies,117753440
DUK,Duke Energy,Utilities - Regulated Electric,71293019480
DUNE,Dune Acquisition,Shell Companies,54560882
DUO,Fangdd Network Group,Real Estate Services,45269271
DUOL,Duolingo,Software - Application,6172273445
DUOT,Duos Technologies Group,Software - Application,32486197
DV,DoubleVerify Holdings,Software - Application,5018571840
DVA,DaVita,Medical Care Facilities,9099931000
DVAX,Dynavax Technologies,Drug Manufacturers - Specialty & Generic,1417046160
DVN,Devon Energy,Oil & Gas E&P,31571638426
DWAC,Digital World Acquisition,Shell Companies,494530190
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,51501236
DX,Dynex Capital,REIT - Mortgage,587131475
DXC,DXC Technology Company,Information Technology Services,5564548080
DXCM,DexCom,Medical Devices,45403804680
DXF,Dunxin Financial Holdings,Credit Services,4177928
DXLG,Destination XL Group,Apparel Retail,261751182
DXPE,DXP Enterprises,Industrial Distribution,550864530
DXR,Daxor,Medical Instruments & Supplies,52522574
DXYN,The Dixie Group,Textile Manufacturing,13965548
DY,Dycom Industries,Engineering & Construction,2916742608
DYAI,Dyadic International,Biotechnology,60215199
DYN,Dyne Therapeutics,Biotechnology,798856590
DYNT,Dynatronics,Medical Devices,3317165
DZSI,DZS Inc.,Communication Equipment,219988188
E,Eni S.p.A.,Oil & Gas Integrated,48893021935
EA,Electronic Arts,Electronic Gaming & Multimedia,34459490480
EAC,Edify Acquisition,Shell Companies,88796404
EAF,GrafTech International,Electrical Equipment & Parts,1155181536
EAR,Eargo,Medical Devices,101064420
EARN,Ellington Residential Mortgage REIT,REIT - Mortgage,98872866
EAST,Eastside Distilling,Beverages - Wineries & Distilleries,60179392
EAT,Brinker International,Restaurants,1751495472
EB,Eventbrite,Software - Application,738950487
EBAY,eBay Inc.,Internet Retail,23250364412
EBC,Eastern Bankshares,Banks - Regional,2054221200
EBET,"EBET, Inc.",Gambling,6289488
EBF,Ennis,Business Equipment & Supplies,526625610
EBIX,"Ebix, Inc.",Software - Application,539229430
EBMT,Eagle Bancorp Montana,Banks - Regional,108882008
EBON,Ebang International Holdings,Computer Hardware,37835155
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Regulated Electric,16149699328
EBS,Emergent BioSolutions,Drug Manufacturers - Specialty & Generic,411754928
EBTC,Enterprise Bancorp,Banks - Regional,338546630
